Cluster_name,r_kpc,rerr_kpc,kT_keV,kT_err_minus,kT_err_plus,ne_g_cm3,ne_err_minus,ne_err_plus,K,K_err_minus,K_err_plus,RA,DEC
--,kpc,kpc,keV,keV,keV,g cm3,g cm3,g cm3,keV cm2,keV cm2,keV cm2,deg,deg
--,--,--,--,--,--,--,--,--,--,--,--,--,--
SPT-CL_J0615-5746,755.525,79.529,10.99,1.112,1.154,0.0008587,3.72E-05,3.83E-05,1216.492,158.104,164.451,93.96608,-57.77941
_HB89__1821+643,11.058,11.058,20,-9.999,0.17,0.1354,0.0006723,0.0006757,75.863,0.893,-37.801,275.42454,64.31696
_HB89__1821+643,33.174,11.058,4.426,0.089,0.117,0.04728,0.0003229,0.0003251,33.849,1.044,0.84,275.42454,64.31696
_HB89__1821+643,55.291,11.058,6.96,0.27,0.301,0.02524,0.0002195,0.0002214,80.896,3.944,3.633,275.42454,64.31696
_HB89__1821+643,77.407,11.058,8.166,0.478,0.528,0.013,0.0002092,0.0002126,147.674,11.01,10.372,275.42454,64.31696
_HB89__1821+643,99.523,11.058,8.969,0.504,0.55,0.01136,0.0001529,0.0001549,177.48,12.361,11.697,275.42454,64.31696
_HB89__1821+643,121.64,11.058,9.178,0.63,0.597,0.008577,0.0001447,0.0001472,219.036,16.519,17.752,275.42454,64.31696
_HB89__1821+643,143.756,11.058,7.418,0.934,0.491,0.008071,0.0001135,0.0001151,184.361,13.798,25.21,275.42454,64.31696
_HB89__1821+643,165.872,11.058,8.807,0.619,0.767,0.006621,0.0001055,0.0001072,249.784,24.144,20.481,275.42454,64.31696
_HB89__1821+643,187.989,11.058,8.276,0.594,0.65,0.005676,9.55E-05,9.71E-05,260.103,23.08,21.896,275.42454,64.31696
_HB89__1821+643,210.105,11.058,10.417,0.973,1.017,0.005323,8.74E-05,8.89E-05,341.703,36.691,36.135,275.42454,64.31696
_HB89__1821+643,232.221,11.058,9.586,0.739,0.71,0.004321,8.42E-05,8.59E-05,361.372,31.056,33.086,275.42454,64.31696
_HB89__1821+643,254.337,11.058,9.74,0.701,0.692,0.003734,7.92E-05,8.09E-05,404.675,33.969,35.481,275.42454,64.31696
_HB89__1821+643,276.454,11.058,10.715,0.826,0.914,0.00333,7.57E-05,7.74E-05,480.483,47.508,45.224,275.42454,64.31696
_HB89__1821+643,298.57,11.058,10.35,0.863,0.96,0.003052,7.02E-05,7.18E-05,491.849,52.323,49.524,275.42454,64.31696
_HB89__1821+643,320.686,11.058,8.838,0.823,0.856,0.002625,6.81E-05,6.99E-05,464.435,52.065,52.489,275.42454,64.31696
_HB89__1821+643,342.803,11.058,8.476,0.878,0.807,0.002395,6.37E-05,6.55E-05,473.45,52.509,58.757,275.42454,64.31696
_HB89__1821+643,364.919,11.058,9.119,1.013,0.807,0.002027,6.58E-05,6.80E-05,569.312,61.315,77.826,275.42454,64.31696
_HB89__1821+643,387.035,11.058,9.773,1.147,0.82,0.002038,5.79E-05,5.96E-05,607.936,61.323,84.905,275.42454,64.31696
_HB89__1821+643,409.152,11.058,10.556,1.246,0.991,0.001554,6.58E-05,6.77E-05,786.941,93.325,119.396,275.42454,64.31696
_HB89__1821+643,431.268,11.058,11.338,1.345,1.161,0.001508,6.05E-05,6.20E-05,862.081,108.322,129.643,275.42454,64.31696
_HB89__1821+643,453.384,11.058,12.057,1.436,1.323,0.001549,5.27E-05,5.41E-05,900.476,116.461,131.443,275.42454,64.31696
_HB89__1821+643,475.5,11.058,11.861,1.411,1.349,0.0014,5.22E-05,5.42E-05,947.991,128.047,141.09,275.42454,64.31696
_HB89__1821+643,497.617,11.058,11.665,1.386,1.375,0.00114,5.76E-05,5.97E-05,1069.164,156.469,170.685,275.42454,64.31696
_HB89__1821+643,519.733,11.058,11.469,1.361,1.401,0.001306,4.60E-05,4.70E-05,959.844,136.451,140.417,275.42454,64.31696
_HB89__1821+643,541.849,11.058,11.374,1.354,1.436,0.001008,5.34E-05,5.64E-05,1131.651,176.307,184.323,275.42454,64.31696
_HB89__1821+643,563.966,11.058,11.344,1.359,1.476,0.00106,4.78E-05,4.93E-05,1091.307,169.528,170.183,275.42454,64.31696
_HB89__1821+643,586.082,11.058,11.315,1.364,1.517,0.0009398,5.04E-05,5.24E-05,1179.256,193.028,193.735,275.42454,64.31696
_HB89__1821+643,608.198,11.058,11.285,1.369,1.557,0.001015,4.37E-05,4.57E-05,1117.288,180.863,174.631,275.42454,64.31696
_HB89__1821+643,630.315,11.058,11.255,1.374,1.598,0.0007421,5.49E-05,5.84E-05,1373.078,249.68,254.165,275.42454,64.31696
_HB89__1821+643,652.431,11.058,11.225,1.379,1.638,0.0008406,4.61E-05,4.87E-05,1260.309,221.511,212.325,275.42454,64.31696
_HB89__1821+643,674.547,11.058,11.221,1.38,1.644,0.0008761,4.23E-05,4.38E-05,1225.52,211.949,198.568,275.42454,64.31696
_HB89__1821+643,696.664,11.058,11.221,1.38,1.644,0.0008459,4.13E-05,4.27E-05,1254.585,217.311,203.844,275.42454,64.31696
_HB89__1821+643,718.78,11.058,11.221,1.38,1.644,0.0007264,4.57E-05,4.79E-05,1388.665,250.65,243.404,275.42454,64.31696
_HB89__1821+643,740.896,11.058,11.221,1.38,1.644,0.0006537,2.59E-05,2.61E-05,1489.712,250.807,229.218,275.42454,64.31696
MCXC_J0439.0+0715,18.371,18.371,6.651,0.476,0.554,0.02457,0.0007906,0.0007988,78.7,8.063,7.511,69.75296,7.26879
MCXC_J0439.0+0715,45.928,9.186,6.681,0.479,0.553,0.01356,0.0007291,0.0007543,117.502,13.429,13.326,69.75296,7.26879
MCXC_J0439.0+0715,64.299,9.186,6.783,0.49,0.551,0.01237,0.000472,0.000482,126.795,13.174,12.807,69.75296,7.26879
MCXC_J0439.0+0715,82.67,9.186,6.884,0.501,0.549,0.008112,0.0004582,0.0004788,170.512,19.238,19.971,69.75296,7.26879
MCXC_J0439.0+0715,101.041,9.186,6.985,0.511,0.547,0.007528,0.0003562,0.0003666,181.868,19.318,19.918,69.75296,7.26879
MCXC_J0439.0+0715,119.413,9.186,7.087,0.522,0.544,0.005988,0.0003377,0.0003487,214.908,23.63,25.245,69.75296,7.26879
MCXC_J0439.0+0715,137.784,9.186,7.101,0.528,0.551,0.006029,0.0002668,0.0002746,214.353,22.255,23.222,69.75296,7.26879
MCXC_J0439.0+0715,156.155,9.186,7.002,0.529,0.569,0.005502,0.0002363,0.0002419,224.654,23.954,24.339,69.75296,7.26879
MCXC_J0439.0+0715,174.526,9.186,6.903,0.53,0.587,0.004461,0.0002339,0.0002407,254.713,29.452,29.898,69.75296,7.26879
MCXC_J0439.0+0715,192.897,9.186,6.804,0.531,0.604,0.00386,0.0002203,0.00023,276.473,33.712,34.048,69.75296,7.26879
MCXC_J0439.0+0715,211.268,9.186,6.705,0.532,0.622,0.003187,0.0002216,0.0002341,309.616,41.052,42.017,69.75296,7.26879
MCXC_J0439.0+0715,229.64,9.186,6.606,0.533,0.64,0.002917,0.0002091,0.000221,323.59,44.542,44.978,69.75296,7.26879
MCXC_J0439.0+0715,248.011,9.186,6.508,0.535,0.657,0.003256,0.0001666,0.0001721,296.241,38.62,36.17,69.75296,7.26879
MCXC_J0439.0+0715,266.382,9.186,6.427,0.55,0.656,0.002187,0.0002083,0.0002252,381.488,59.104,63.753,69.75296,7.26879
MCXC_J0439.0+0715,284.753,9.186,6.346,0.565,0.655,0.002476,0.0001637,0.0001725,346.733,48.789,49.481,69.75296,7.26879
MCXC_J0439.0+0715,303.124,9.186,6.265,0.58,0.654,0.002473,0.0001432,0.0001496,342.569,47.076,47.596,69.75296,7.26879
MCXC_J0439.0+0715,330.681,18.371,6.147,0.602,0.653,0.001558,9.95E-05,0.0001046,457.39,65.131,68.6,69.75296,7.26879
MCXC_J0439.0+0715,367.423,18.371,5.985,0.632,0.651,0.001682,7.50E-05,7.73E-05,423.195,56.876,59.581,69.75296,7.26879
MCXC_J0439.0+0715,404.166,18.371,5.823,0.662,0.65,0.001359,7.43E-05,7.73E-05,474.494,67.635,74.972,69.75296,7.26879
MCXC_J0439.0+0715,440.908,18.371,5.661,0.692,0.648,0.001076,7.56E-05,8.00E-05,539.235,82.861,97.891,69.75296,7.26879
MCXC_J0439.0+0715,486.836,27.557,5.462,0.729,0.646,0.0009657,4.82E-05,5.00E-05,559.079,81.884,97.444,69.75296,7.26879
MCXC_J0439.0+0715,541.949,27.557,5.369,0.746,0.645,0.000797,4.58E-05,4.78E-05,624.597,95.122,116.729,69.75296,7.26879
MCXC_J0439.0+0715,606.248,36.742,5.369,0.746,0.645,0.0006549,3.34E-05,3.46E-05,711.911,105.946,128.811,69.75296,7.26879
MCXC_J0439.0+0715,688.919,45.928,5.369,0.746,0.645,0.0004137,3.33E-05,3.53E-05,966.995,158.947,201.897,69.75296,7.26879
MCXC_J0439.0+0715,789.96,55.113,5.369,0.746,0.645,0.0003723,1.80E-05,1.83E-05,1037.36,152.882,184.488,69.75296,7.26879
Cl_0016+16,15.896,15.896,9.275,1.217,0.693,0.01294,0.00196,0.002218,168.316,26.555,47.516,4.6396,16.43694
Cl_0016+16,47.689,15.896,9.275,1.217,0.693,0.01214,0.0005865,0.0006048,175.571,18.148,29.919,4.6396,16.43694
Cl_0016+16,79.482,15.896,9.27,1.211,0.697,0.008264,0.0004294,0.0004445,226.774,24.018,39.246,4.6396,16.43694
Cl_0016+16,111.275,15.896,9.246,1.183,0.715,0.00767,0.0002947,0.000302,237.727,23.822,37.707,4.6396,16.43694
Cl_0016+16,143.067,15.896,9.222,1.156,0.732,0.007021,0.0002265,0.0002291,251.51,24.822,37.863,4.6396,16.43694
Cl_0016+16,174.86,15.896,9.198,1.129,0.75,0.005061,0.0002265,0.0002337,312.033,33.688,49.513,4.6396,16.43694
Cl_0016+16,206.653,15.896,9.175,1.102,0.768,0.005048,0.000178,0.0001814,311.761,32.612,46.056,4.6396,16.43694
Cl_0016+16,238.445,15.896,9.203,1.118,0.787,0.004631,0.0001539,0.000157,331.262,34.874,48.88,4.6396,16.43694
Cl_0016+16,270.238,15.896,9.248,1.148,0.808,0.003718,0.0001541,0.0001583,385.353,43.053,60.59,4.6396,16.43694
Cl_0016+16,302.031,15.896,9.293,1.178,0.828,0.00388,0.0001221,0.0001241,376.347,40.549,57.01,4.6396,16.43694
Cl_0016+16,333.824,15.896,9.337,1.208,0.848,0.003265,0.0001183,0.0001208,424.267,47.593,67.099,4.6396,16.43694
Cl_0016+16,365.616,15.896,9.331,1.223,0.868,0.002571,0.0001222,0.0001262,497.157,59.982,84.325,4.6396,16.43694
Cl_0016+16,397.409,15.896,9.244,1.211,0.886,0.002433,0.0001086,0.0001119,511.072,62.254,85.396,4.6396,16.43694
Cl_0016+16,429.202,15.896,9.156,1.2,0.904,0.002292,9.84E-05,0.0001012,526.646,65.113,87.186,4.6396,16.43694
Cl_0016+16,460.994,15.896,9.069,1.188,0.922,0.001962,9.70E-05,0.0001004,578.58,75.288,99.115,4.6396,16.43694
Cl_0016+16,492.787,15.896,8.981,1.176,0.94,0.001481,0.0001081,0.0001147,691.311,100.777,133.748,4.6396,16.43694
Cl_0016+16,524.58,15.896,8.894,1.165,0.958,0.00164,8.76E-05,9.11E-05,639.464,88.371,111.852,4.6396,16.43694
Cl_0016+16,556.373,15.896,8.806,1.153,0.976,0.001204,0.0001059,0.0001142,778.213,124.101,162.414,4.6396,16.43694
Cl_0016+16,588.165,15.896,8.719,1.142,0.995,0.001523,7.76E-05,8.05E-05,658.682,94.168,113.743,4.6396,16.43694
Cl_0016+16,619.958,15.896,8.631,1.13,1.013,0.0007214,0.0001361,0.0001627,1073.012,228.977,366,4.6396,16.43694
Cl_0016+16,667.647,31.793,8.552,1.12,1.029,0.001105,4.54E-05,4.66E-05,800.345,114.94,131.181,4.6396,16.43694
Cl_0016+16,731.232,31.793,8.552,1.12,1.029,0.000779,5.32E-05,5.62E-05,1010.095,159.822,190.75,4.6396,16.43694
Cl_0016+16,794.818,31.793,8.552,1.12,1.029,0.0008194,4.20E-05,4.35E-05,976.673,145.658,168.854,4.6396,16.43694
Cl_0016+16,858.403,31.793,8.552,1.12,1.029,0.000558,4.90E-05,5.28E-05,1261.756,212.334,263.036,4.6396,16.43694
Cl_0016+16,921.989,31.793,8.552,1.12,1.029,0.0005411,4.30E-05,4.60E-05,1287.91,211.324,257.58,4.6396,16.43694
Cl_0016+16,1001.471,47.689,8.552,1.12,1.029,0.0004132,3.32E-05,3.55E-05,1541.606,253.598,309.595,4.6396,16.43694
Cl_0016+16,1096.849,47.689,8.552,1.12,1.029,0.0004184,2.78E-05,2.93E-05,1528.727,240.391,285.956,4.6396,16.43694
Cl_0016+16,1224.02,79.482,8.552,1.12,1.029,0.0003766,1.37E-05,1.39E-05,1639.967,231.339,262.007,4.6396,16.43694
ABELL_1644,2.319,2.319,2.106,0.055,0.072,0.02629,0.002149,0.002277,23.82,1.988,2.144,194.2986,-17.40913
ABELL_1644,6.958,2.319,2.114,0.064,0.076,0.02133,0.0007331,0.0007412,27.489,1.583,1.504,194.2986,-17.40913
ABELL_1644,11.596,2.319,2.131,0.081,0.085,0.01953,0.0004028,0.0004065,29.381,1.553,1.547,194.2986,-17.40913
ABELL_1644,16.234,2.319,2.734,0.149,0.164,0.01202,0.0004088,0.0004232,52.1,4.205,4.168,194.2986,-17.40913
ABELL_1644,20.873,2.319,2.785,0.163,0.156,0.01069,0.0003129,0.00032,57.376,4.245,4.601,194.2986,-17.40913
ABELL_1644,25.511,2.319,3.534,0.234,0.26,0.005903,0.0003918,0.0004197,108.197,12.164,12.978,194.2986,-17.40913
ABELL_1644,30.149,2.319,3.838,0.26,0.311,0.006468,0.0002818,0.0002946,110.561,11.807,11.216,194.2986,-17.40913
ABELL_1644,34.788,2.319,3.908,0.266,0.305,0.005243,0.0002873,0.0003016,129.489,14.277,14.386,194.2986,-17.40913
ABELL_1644,39.426,2.319,3.585,0.397,0.261,0.005158,0.0002677,0.0002824,120.085,12.436,18.4,194.2986,-17.40913
ABELL_1644,44.064,2.319,4.439,0.39,0.364,0.003353,0.0003181,0.0003449,198.16,26.916,33.589,194.2986,-17.40913
ABELL_1644,48.703,2.319,3.997,0.36,0.33,0.004356,0.0002249,0.0002372,149.855,16.91,19.71,194.2986,-17.40913
ABELL_1644,53.341,2.319,4.333,0.292,0.352,0.003424,0.0002469,0.0002661,190.732,23.442,24.137,194.2986,-17.40913
ABELL_1644,57.979,2.319,3.818,0.217,0.211,0.004378,0.0001584,0.0001644,142.665,11.04,12.004,194.2986,-17.40913
ABELL_1644,62.618,2.319,3.524,0.239,0.228,0.003798,0.0001815,0.0001906,144.753,13.514,15.215,194.2986,-17.40913
ABELL_1644,67.256,2.319,3.759,0.3,0.311,0.003896,0.0001665,0.0001726,151.808,16.391,17.142,194.2986,-17.40913
ABELL_1644,71.894,2.319,3.386,0.239,0.232,0.004464,0.0001433,0.0001481,124.899,10.983,11.858,194.2986,-17.40913
ABELL_1644,76.533,2.319,4.08,0.325,0.339,0.00305,0.0001754,0.0001862,193.993,22.628,24.433,194.2986,-17.40913
ABELL_1644,81.171,2.319,4.144,0.325,0.325,0.003921,0.0001228,0.0001268,166.666,16.198,17.055,194.2986,-17.40913
ABELL_1644,85.81,2.319,4.299,0.336,0.346,0.003003,0.0001456,0.0001531,206.54,22.525,24.046,194.2986,-17.40913
ABELL_1644,90.448,2.319,4.24,0.356,0.352,0.002855,0.0001471,0.0001551,210.668,23.851,26.35,194.2986,-17.40913
ABELL_1644,95.086,2.319,4.429,0.454,0.373,0.002829,0.0001354,0.0001422,221.441,24.874,31.243,194.2986,-17.40913
ABELL_1644,99.725,2.319,4.027,0.359,0.35,0.002453,0.0001463,0.0001531,221.381,26.897,30.318,194.2986,-17.40913
ABELL_1644,104.363,2.319,4.702,0.507,0.381,0.002596,0.0001266,0.0001331,248.939,27.317,36.688,194.2986,-17.40913
ABELL_1644,109.001,2.319,4.499,0.386,0.361,0.003022,9.98E-05,0.0001033,215.258,21.517,23.949,194.2986,-17.40913
ABELL_1644,113.64,2.319,4.418,0.277,0.361,0.002276,0.0001237,0.0001308,255.364,28.995,26.933,194.2986,-17.40913
ABELL_1644,118.278,2.319,4.486,0.455,0.397,0.002253,0.0001172,0.0001237,261.048,31.016,37.509,194.2986,-17.40913
ABELL_1644,122.916,2.319,4.231,0.413,0.413,0.002315,0.0001185,0.0001249,241.778,30.742,33.597,194.2986,-17.40913
ABELL_1644,127.555,2.319,4.424,0.37,0.377,0.002222,0.0001017,0.0001066,259.786,29.126,31.108,194.2986,-17.40913
ABELL_1644,132.193,2.319,4.862,0.58,0.407,0.00183,0.0001216,0.0001302,325.021,39.709,57.129,194.2986,-17.40913
ABELL_1644,136.831,2.319,5.716,0.539,0.486,0.002216,9.32E-05,9.73E-05,336.31,36.933,42.898,194.2986,-17.40913
ABELL_1644,141.47,2.319,4.976,0.402,0.428,0.002074,9.43E-05,9.88E-05,305.927,34.479,35.648,194.2986,-17.40913
ABELL_1644,146.108,2.319,4.718,0.422,0.364,0.00176,0.0001067,0.0001136,323.697,36.467,44.992,194.2986,-17.40913
ABELL_1644,150.746,2.319,4.904,0.609,0.521,0.002097,9.28E-05,9.71E-05,299.357,39.417,47.983,194.2986,-17.40913
ABELL_1644,155.385,2.319,5.498,0.435,0.527,0.001463,0.0001158,0.0001258,426.62,59.992,62.19,194.2986,-17.40913
ABELL_1644,160.023,2.319,5.493,0.465,0.526,0.002226,8.16E-05,8.47E-05,322.209,37.764,36.433,194.2986,-17.40913
ABELL_1644,164.662,2.319,4.358,0.379,0.429,0.001663,0.0001005,0.0001053,310.507,41.306,42.044,194.2986,-17.40913
ABELL_1644,169.3,2.319,5.327,0.6,0.629,0.00206,8.10E-05,8.43E-05,329.001,46.213,47.399,194.2986,-17.40913
ABELL_1644,173.938,2.319,4.616,0.678,0.404,0.001824,8.27E-05,8.66E-05,309.209,35.277,57.103,194.2986,-17.40913
ABELL_1644,178.577,2.319,5.352,0.717,0.69,0.001712,9.33E-05,9.71E-05,373.939,59.525,66.919,194.2986,-17.40913
ABELL_1644,183.215,2.319,4.851,0.662,0.567,0.00205,7.72E-05,8.03E-05,300.58,41.596,50.234,194.2986,-17.40913
ABELL_1644,187.853,2.319,4.978,0.577,0.525,0.001485,9.17E-05,9.77E-05,382.404,53.716,64.125,194.2986,-17.40913
ABELL_1644,192.492,2.319,5.955,1.004,0.718,0.001956,7.19E-05,7.35E-05,380.699,53.861,75.683,194.2986,-17.40913
ABELL_1644,197.13,2.319,5.121,0.542,0.606,0.001481,9.51E-05,1.00E-04,394.186,60.772,62.52,194.2986,-17.40913
ABELL_1644,201.768,2.319,6.122,0.775,0.623,0.001857,6.89E-05,7.16E-05,405.204,49.97,63.416,194.2986,-17.40913
ABELL_1644,206.407,2.319,4.621,0.649,0.488,0.001529,8.17E-05,8.50E-05,348.246,47.409,64.349,194.2986,-17.40913
ABELL_1644,211.045,2.319,4.488,0.412,0.499,0.001765,7.09E-05,7.39E-05,307.35,41.254,37.92,194.2986,-17.40913
ABELL_1644,215.683,2.319,4.49,0.46,0.537,0.001695,7.63E-05,7.99E-05,315.886,45.825,43.756,194.2986,-17.40913
ABELL_1644,220.322,2.319,4.028,0.518,0.473,0.001922,6.41E-05,6.64E-05,260.525,35.569,40.47,194.2986,-17.40913
ABELL_1644,224.96,2.319,7.541,1.168,0.984,0.001493,6.91E-05,7.24E-05,577.209,90.22,111.863,194.2986,-17.40913
ABELL_1644,229.598,2.319,4.235,0.384,0.503,0.001906,6.08E-05,6.28E-05,275.51,37.755,31.772,194.2986,-17.40913
ABELL_1644,234.237,2.319,4.279,0.417,0.518,0.001756,6.64E-05,6.90E-05,294.018,41.907,37.391,194.2986,-17.40913
ABELL_1644,238.875,2.319,6.37,0.881,0.911,0.002206,4.79E-05,4.90E-05,375.949,58.347,58.447,194.2986,-17.40913
ABELL_1644,243.514,2.319,4.821,0.59,0.494,0.0013,7.95E-05,8.47E-05,404.68,55.555,70.381,194.2986,-17.40913
ABELL_1644,248.152,2.319,4.471,0.468,0.506,0.00117,2.85E-05,2.87E-05,402.609,51.244,49.569,194.2986,-17.40913
NGC_0777,0.851,0.851,1.109,0.064,0.041,0.1143,0.004002,0.004018,4.708,0.277,0.392,30.06211,31.4294
NGC_0777,2.553,0.851,0.772,0.046,0.049,0.07195,0.003022,0.003065,4.463,0.396,0.405,30.06211,31.4294
NGC_0777,5.105,1.702,0.688,0.047,0.036,0.03138,0.001011,0.00102,6.916,0.499,0.637,30.06211,31.4294
NGC_0777,8.509,1.702,0.578,0.044,0.031,0.01268,0.0006567,0.0006707,10.631,0.903,1.231,30.06211,31.4294
NGC_0777,11.913,1.702,0.687,0.055,0.038,0.003953,0.0001914,0.0001948,27.482,2.326,3.217,30.06211,31.4294
NGC_0777,16.167,2.553,0.624,0.044,0.041,0.003244,0.0001197,0.0001204,28.477,2.506,2.786,30.06211,31.4294
NGC_0777,22.124,3.404,0.577,0.051,0.06,0.002756,0.0001006,0.0001011,29.351,3.673,3.4,30.06211,31.4294
NGC_0777,37.44,11.913,0.727,0.064,0.234,0.00147,5.11E-05,5.13E-05,56.222,18.955,6.416,30.06211,31.4294
ABELL_2355,33.471,33.471,10.185,2.381,1.603,0.002501,0.0004633,0.0005409,552.781,136.898,249.526,323.81954,1.41767
ABELL_2355,78.099,11.157,10.185,2.381,1.603,0.002386,0.0004406,0.0005216,570.336,141.094,259.086,323.81954,1.41767
ABELL_2355,100.412,11.157,10.021,2.313,1.568,0.00237,0.0002959,0.0003288,563.659,124.06,202.759,323.81954,1.41767
ABELL_2355,122.726,11.157,9.657,2.164,1.49,0.002722,0.0001856,0.0001941,495.381,94.471,141.667,323.81954,1.41767
ABELL_2355,145.04,11.157,9.294,2.015,1.413,0.001833,0.0002031,0.0002217,620.449,129.889,202.239,323.81954,1.41767
ABELL_2355,167.354,11.157,8.931,1.866,1.335,0.002289,0.0001318,0.0001376,514.168,92.878,133.637,323.81954,1.41767
ABELL_2355,189.668,11.157,8.568,1.717,1.258,0.001652,0.000144,0.0001553,613.045,118.329,172.868,323.81954,1.41767
ABELL_2355,211.982,11.157,8.205,1.567,1.18,0.001739,0.0001152,0.0001214,567.419,101.942,141.801,323.81954,1.41767
ABELL_2355,234.296,11.157,7.841,1.418,1.102,0.001575,0.0001091,0.0001154,579.38,103.201,140.376,323.81954,1.41767
ABELL_2355,256.61,11.157,7.478,1.269,1.025,0.001375,0.0001091,0.0001166,604.806,108.782,145.672,323.81954,1.41767
ABELL_2355,278.923,11.157,7.306,1.219,1.007,0.00153,8.87E-05,9.12E-05,550.165,93.352,118.626,323.81954,1.41767
ABELL_2355,301.237,11.157,7.296,1.254,1.041,0.001215,9.65E-05,0.0001015,640.852,118.769,155.079,323.81954,1.41767
ABELL_2355,323.551,11.157,7.287,1.288,1.076,0.001317,7.79E-05,8.02E-05,606.495,108.962,137.785,323.81954,1.41767
ABELL_2355,345.865,11.157,7.277,1.323,1.11,0.0009888,8.62E-05,9.14E-05,733.159,145.475,191.224,323.81954,1.41767
ABELL_2355,368.179,11.157,7.267,1.358,1.144,0.000835,8.74E-05,9.45E-05,819.554,173.34,234.297,323.81954,1.41767
ABELL_2355,396.071,16.735,7.255,1.401,1.186,0.0008195,5.38E-05,5.66E-05,828.483,164.151,208.333,323.81954,1.41767
ABELL_2355,429.542,16.735,7.241,1.454,1.237,0.0007759,4.86E-05,5.10E-05,857.518,174.706,219.902,323.81954,1.41767
ABELL_2355,463.013,16.735,7.236,1.471,1.254,0.0007189,4.44E-05,4.66E-05,901.656,185.462,232.859,323.81954,1.41767
ABELL_2355,502.062,22.314,7.236,1.471,1.254,0.0005415,3.78E-05,4.00E-05,1089.14,228.331,290.132,323.81954,1.41767
ABELL_2355,546.69,22.314,7.236,1.471,1.254,0.0005195,3.33E-05,3.51E-05,1119.77,231.659,291.887,323.81954,1.41767
ABELL_2355,596.896,27.892,7.236,1.471,1.254,0.0004675,2.10E-05,2.14E-05,1201.251,236.808,290.136,323.81954,1.41767
WHL_J135949.5+623047,11.677,11.677,4.959,0.364,0.389,0.05114,0.001056,0.001058,35.991,3.272,3.184,209.96052,62.51794
WHL_J135949.5+623047,35.03,11.677,5.16,0.42,0.411,0.01942,0.0005124,0.0005139,71.413,6.818,7.204,209.96052,62.51794
WHL_J135949.5+623047,58.384,11.677,5.995,0.652,0.502,0.01239,0.0003315,0.0003357,111.941,11.163,14.471,209.96052,62.51794
WHL_J135949.5+623047,81.737,11.677,6.836,0.886,0.594,0.007798,0.0002871,0.0002903,173.832,18.88,27.563,209.96052,62.51794
WHL_J135949.5+623047,105.091,11.677,7.584,1.053,0.679,0.006811,0.0002133,0.0002162,211.054,22.801,34.526,209.96052,62.51794
WHL_J135949.5+623047,128.444,11.677,8.06,1.025,0.744,0.005019,0.0002014,0.0002067,274.954,31.845,43.786,209.96052,62.51794
WHL_J135949.5+623047,151.798,11.677,8.535,0.998,0.809,0.004919,0.0001533,0.0001558,295.115,33.392,41.639,209.96052,62.51794
WHL_J135949.5+623047,175.151,11.677,9.011,0.97,0.874,0.003009,0.0001851,0.0001941,432.279,57.175,68.287,209.96052,62.51794
WHL_J135949.5+623047,198.505,11.677,8.836,0.948,0.87,0.003536,0.0001291,0.0001319,380.734,45.605,51.657,209.96052,62.51794
WHL_J135949.5+623047,221.858,11.677,8.521,0.927,0.851,0.003,0.0001222,0.0001254,409.656,50.601,57.671,209.96052,62.51794
WHL_J135949.5+623047,245.212,11.677,8.207,0.906,0.832,0.002254,0.00013,0.0001358,477.357,64.125,75.1,209.96052,62.51794
WHL_J135949.5+623047,268.565,11.677,7.892,0.885,0.813,0.002299,0.0001069,0.0001103,453.044,58.779,67.588,209.96052,62.51794
WHL_J135949.5+623047,291.919,11.677,7.578,0.864,0.794,0.001729,0.000118,0.0001246,526.029,75.358,89.93,209.96052,62.51794
WHL_J135949.5+623047,315.272,11.677,7.263,0.843,0.774,0.001911,9.35E-05,9.68E-05,471.687,63.499,73.304,209.96052,62.51794
WHL_J135949.5+623047,338.626,11.677,6.949,0.822,0.755,0.001486,0.000102,0.0001078,533.608,78.585,93.845,209.96052,62.51794
WHL_J135949.5+623047,361.979,11.677,6.634,0.801,0.736,0.001341,9.85E-05,0.0001046,545.598,82.913,99.897,209.96052,62.51794
WHL_J135949.5+623047,385.333,11.677,6.617,0.8,0.735,0.001488,7.87E-05,8.17E-05,507.77,71.644,83.241,209.96052,62.51794
WHL_J135949.5+623047,420.363,23.354,6.617,0.8,0.735,0.0008821,5.80E-05,6.10E-05,719.394,106.464,126.453,209.96052,62.51794
WHL_J135949.5+623047,467.07,23.354,6.617,0.8,0.735,0.0008492,4.91E-05,5.12E-05,737.907,106.07,124.252,209.96052,62.51794
WHL_J135949.5+623047,513.777,23.354,6.617,0.8,0.735,0.0007661,4.49E-05,4.69E-05,790.355,113.971,133.7,209.96052,62.51794
WHL_J135949.5+623047,560.484,23.354,6.617,0.8,0.735,0.0005725,4.97E-05,5.35E-05,959.76,152.636,188.775,209.96052,62.51794
WHL_J135949.5+623047,607.191,23.354,6.617,0.8,0.735,0.0007387,3.39E-05,3.50E-05,809.716,111.141,127.698,209.96052,62.51794
WHL_J135949.5+623047,665.575,35.03,6.617,0.8,0.735,0.0003083,4.37E-05,5.02E-05,1450.034,270.113,379.602,209.96052,62.51794
WHL_J135949.5+623047,747.312,46.707,6.617,0.8,0.735,0.0002774,1.54E-05,1.55E-05,1555.547,221.545,256.253,209.96052,62.51794
NGC_2563_GROUP,0.831,0.831,0.731,0.039,0.156,0.09145,0.002921,0.002929,3.601,0.827,0.275,125.14852,21.06788
