name,RA_h,RA_m,RA_s,DecSign,DecAbsDeg,DEC_m,DEC_s,RA_deg,DEC_deg,redshift,Rin,Rout,scaleR,R2500,R2500e,R500,R500e,T2500,T2500e,T500,T500e,K0,K0err,K100,K100err,spec_kT,spec_kT_err,spec_Z,spec_Z_err,Fx,Fx_err,Lx,Lx_err,LXrest,LXrest_err,LXbol,LXbol_err,radial_profile,dof,spec_X2r,max_ap,wtkT,wtkTe,wtZ,wtZe,obsIDs_good,obsIDs_all
--,h,m,s,DE-,DEd,m,s,degree,degree,--,scaleR,scaleR,--,kpc,kpc,kpc,kpc,keV,keV,keV,keV,keV cm2,keV cm2,keV cm2,keV cm2,keV,keV,Zsun,Zsun,erg/s/cm2,erg/s/cm2,erg/s,erg/s,erg/s,erg/s,erg/s,erg/s,--,--,--,arcmin,keV,keV,Zsun,Zsun,--,--
ACCEPT2 cluster name,Right Ascension J2000 (hours),Right Ascension J2000 (minutes),Right Ascension J2000 (seconds),Declination J2000 (sign),Declination J2000 (degrees),Declination J2000 (minutes),Declination J2000 (Seconds),Right Ascension J2000 (decimal degrees),Declination J2000 (decimal degrees),Redshift,Inner radius,Outer radius,Radius scale,R2500 radius,R2500 radius error,R500 radius,R500 radius error,Average temperature R2500,Average temperature R2500 error,Average temperature R500,Average temperature R500 error,Central entropy,Central entropy error,Entropy at 100kpc,Entropy at 100kpc error,Temperature,Temperature error,Metallicity,Metallicity error,--,--,--,--,--,--,--,--,--,--,--,Maximum aperature,--,--,--,--,observation ID,observation ID
CIZA_J1938.3+5409,19,38,18.4,+,54,9,34.85,294.57677,54.15968,0.26,0.3,1,R2500     ,539,37,1181,78,7.278,0.757,6.982,0.702,82.5,12.5,63.3,15.6,7.202,0.728,3.56E-01,9.10E-02,4.46E-12,1.79E-13,9.11E+44,3.65E+43,8.68E+44,3.48E+43,1.27E+45,5.10E+43,./proj_profs/CIZA_J1938.3+5409_kTZ.dat,1022,1.124,2.25,nan,nan,nan,nan,[15104]   ,[15104]
MCXC_J1947.3-7623,19,47,14.9,-,76,23,44.79,296.8121,-76.39578,0.217,0.3,1,R2500     ,574,41,1291,99,7.839,0.89,7.928,0.943,17.5,8.8,179.2,16.1,7.337,0.632,3.38E-01,8.60E-02,4.19E-12,1.37E-13,5.67E+44,1.85E+43,5.43E+44,1.77E+43,8.01E+44,2.61E+43,./proj_profs/MCXC_J1947.3-7623_kTZ.dat,1022,1.214,2.745,nan,nan,nan,nan,[15102]   ,[15102]
ABELL_3653,19,53,3.4,-,52,2,12.75,298.26411,-52.03688,0.109,0.3,1,R2500     ,450,19,1026,46,4.598,0.302,4.671,0.336,174.8,44.4,172.3,103,4.781,0.341,3.45E-01,7.10E-02,1.74E-12,5.01E-14,5.17E+43,1.49E+42,5.13E+43,1.48E+42,6.86E+43,1.98E+42,./proj_profs/ABELL_3653_kTZ.dat,1022,1.222,3.816,nan,nan,nan,nan,[10460]   ,[10460]
MCXC_J1958.2-3011,19,58,15,-,30,11,11.93,299.56235,-30.18665,0.117,0.3,1,R2500     ,399,72,808,97,3.712,1.145,3,0.615,nan,nan,nan,nan,3.283,0.982,1.82E-01,4.52E-01,2.45E-13,3.37E-14,8.52E+42,1.17E+42,8.62E+42,1.18E+42,1.13E+43,1.56E+42,None      ,1022,1.212,3.173,nan,nan,nan,nan,[13136]   ,[13136]
MCXC_J2003.5-2323,20,3,29.1,-,23,22,24.32,300.87131,-23.37342,0.317,0.3,1,R2500     ,599,43,1323,98,9.312,0.976,9.148,0.945,217.9,91.7,134.2,149.3,9.178,0.804,1.31E-01,7.20E-02,2.62E-12,6.34E-14,8.46E+44,2.05E+43,7.83E+44,1.90E+43,1.25E+45,3.02E+43,./proj_profs/MCXC_J2003.5-2323_kTZ.dat,1022,1.222,2.174,nan,nan,nan,nan,[7916]    ,[7916]
MCXC_J2011.3-5725,20,11,26.9,-,57,25,11.7,302.86219,-57.41992,0.279,0.3,1,R2500     ,363,25,835,64,3.627,0.375,3.693,0.437,39.4,8.6,64.6,15.6,3.629,0.373,2.31E-01,1.10E-01,8.67E-13,6.15E-14,2.08E+44,1.47E+43,2.12E+44,1.50E+43,2.78E+44,1.97E+43,./proj_profs/MCXC_J2011.3-5725_kTZ.dat,1022,1.156,1.444,nan,nan,nan,nan,[4995]    ,[4995]
ABELL_3667,20,12,42,-,56,50,49.73,303.1752,-56.84715,0.056,0.3,1,R2500     ,544,8,1247,28,6.214,0.039,6.452,0.044,nan,nan,nan,nan,6.499,0.048,3.21E-01,1.10E-02,1.92E-11,7.60E-14,1.38E+44,5.45E+41,1.36E+44,5.38E+41,1.95E+44,7.69E+41,None      ,4097,3.215,8.504,nan,nan,nan,nan,[5753  5752  5751  513],[513  5751  5752  5753  6292  6295  6296  889]
MCXC_J2014.8-2430,20,14,51.7,-,24,30,22.37,303.71529,-24.50621,0.161,0.3,1,R2500     ,560,21,1262,57,7.154,0.394,7.215,0.468,5.1,0.8,116.6,3.8,7.148,0.389,4.67E-01,8.80E-02,6.11E-12,1.45E-13,4.26E+44,1.01E+43,4.12E+44,9.75E+42,6.02E+44,1.43E+43,./proj_profs/MCXC_J2014.8-2430_kTZ.dat,1022,1.19,3.399,6.629,0.996,0.447,0.125,[11757]   ,[11757]
SPT-CL_J2023-5535,20,23,21.3,-,55,35,48.28,305.83885,-55.59674,0.232,0.3,1,R2500     ,609,41,1342,98,8.842,0.921,8.654,0.943,186.1,83.9,142.2,160.7,8.387,0.761,2.91E-01,8.50E-02,3.89E-12,1.14E-13,6.12E+44,1.80E+43,5.79E+44,1.70E+43,8.93E+44,2.63E+43,./proj_profs/SPT-CL_J2023-5535_kTZ.dat,1022,1.121,2.767,nan,nan,nan,nan,[15108]   ,[15108]
MCXC_J2031.8-4037,20,31,50.4,-,40,37,30.89,307.9602,-40.62525,0.342,0.3,1,R2500     ,494,46,1100,105,6.718,0.933,6.615,0.961,nan,nan,nan,nan,6.735,0.918,1.28E-01,1.17E-01,2.17E-12,1.17E-13,8.34E+44,4.51E+43,7.96E+44,4.30E+43,1.15E+45,6.22E+43,None      ,1022,1.116,1.706,nan,nan,nan,nan,[13517]   ,[13517]
