#Name                                       RA                  Dec          z         K0       K100      alpha        Tcl       Lbol    UL?        LHa    UL?       Lrad
#--                                      h:m:s                d:m:s         --   keV.cm^2   keV.cm^2         --        keV    erg/sec     --    erg/sec     --    erg/sec
ABELL_1991                        14:54:31.620         +18:38:41.48     0.0587       1.53     152.21       1.09       5.40      0.451      =      0.596      =      3.250
ABELL_1995                        14:52:57.410         +58:02:56.84     0.3186     374.35      26.81       2.08       8.60     10.300      ?      0.000      <      7.290
ABELL_2029                        15:10:56.139         +05:44:40.47     0.0765      10.50     163.58       0.95       7.38     15.600      <      0.643      =     82.200
ABELL_2034                        15:10:12.498         +33:30:39.57     0.1130     232.64      85.07       1.14       7.15      6.500      <      1.450      <      0.904
ABELL_2052                        15:16:44.514         +07:01:17.02     0.0353       9.45     164.72       1.25       2.98      5.130      =      1.380      =    174.000
ABELL_2063                        15:23:04.851         +08:36:20.16     0.0351      53.51     129.01       1.07       3.61      4.270      <      0.130      =      0.455
ABELL_2065                        15:22:29.517         +27:42:22.93     0.0730      43.95     195.29       1.02       5.35      2.950      <      0.584      <      0.357
ABELL_2069                        15:24:11.376         +29:52:19.02     0.1160     453.25      54.57       1.47       7.90      3.860      <      1.540      <      0.957
ABELL_2104                        15:40:08.131         -03:18:15.02     0.1554     160.61     210.10       1.20       9.31      6.980      <      2.850      <      1.810
ABELL_2107                        15:39:39.113         +21:46:57.66     0.0411      21.24     396.13       0.91       3.82      3.020      <      0.179      <      0.079
ABELL_2111                        15:39:40.637         +34:25:28.01     0.2300     107.36     193.98       0.65       8.02      7.510      <      6.650      <      4.340
ABELL_2124                        15:44:59.131         +36:06:34.11     0.0658      98.31     260.81       0.90       4.41      0.464      <      0.471      <      0.228
ABELL_2125                        15:41:14.154         +66:15:57.20     0.2465     225.17      32.90       1.35       3.20      0.787      ?      0.000      <      4.530
ABELL_2142                        15:58:20.880         +27:13:44.21     0.0898      68.06     120.57       1.22       8.24     75.900      <      0.898      <      0.553
ABELL_2147                        16:02:17.025         +15:58:28.32     0.0356     151.86     136.19       0.55       4.45      0.726      <      0.134      =      0.410
ABELL_2151                        16:04:35.887         +17:43:17.36     0.0366       0.37     135.18       0.56       2.90      1.410      <      0.141      =      0.059
ABELL_2163                        16:15:45.705         -06:09:00.62     0.1695     437.98      72.21       1.87      12.12     49.300      ?      0.000      <      2.190
ABELL_2187                        16:24:14.018         +41:14:37.53     0.1833      78.63     170.71       0.96       7.30     12.600      ?      0.000      ?      0.000
ABELL_2199                        16:28:38.249         +39:33:04.28     0.0300      13.27     331.46       1.35       4.14      0.808      =      1.420      =     83.200
ABELL_2204                        16:32:46.920         +05:34:32.86     0.1524       9.74     166.19       1.41       6.97     23.000      ?      0.000      =     38.100
ABELL_2218                        16:35:50.831         +66:12:42.31     0.1713     288.56      10.72       2.35       6.70      8.460      <      3.520      <      2.240
ABELL_2219                        16:40:20.112         +46:42:42.84     0.2256     411.57      17.01       1.97       9.81     38.300      <      6.370      <      4.150
ABELL_2244                        17:02:42.579         +34:03:37.34     0.0967      57.58     109.07       1.00       5.57      5.540      <      1.050      =      0.803
ABELL_2255                        17:12:42.935         +64:04:10.81     0.0805     529.10       5.78       2.63       6.42      3.700      <      0.715      <      0.439
ABELL_2256                        17:03:44.567         +78:38:11.51     0.0579     349.58       7.05       2.54       6.90     25.700      ?      0.000      <      0.220
ABELL_2259                        17:20:08.299         +27:40:11.53     0.1640     113.98      60.96       1.36       4.94      5.430      <      3.200      <      2.040
ABELL_2261                        17:22:27.254         +32:07:58.60     0.2240      61.08     105.96       1.27       7.58     17.600      <      6.280      <      4.670
ABELL_2294                        17:24:10.149         +85:53:09.77     0.1780     156.31     235.74       1.03       7.10     10.400      ?      0.000      <      2.440
ABELL_2319                        19:21:09.638         +43:57:21.53     0.0562     270.23      39.42       1.76       9.49     12.700      <      6.450      <      0.206
ABELL_2384                        21:52:21.178         -19:32:51.90     0.0945      38.48     139.21       1.49       3.80      1.980      ?      0.000      <      0.616
ABELL_2390                        21:53:36.825         +17:41:44.38     0.2301      14.73     202.92       1.07       9.16     35.600      =     66.300      =    409.000
ABELL_2409                        22:00:52.567         +20:58:06.55     0.1479      73.81     120.76       0.97       5.50      7.080      <      2.570      <      1.620
ABELL_2420                        22:10:18.792         -12:10:13.35     0.0846     332.56      64.33       1.12       7.89      0.000      ?      0.000      <      0.484
ABELL_2462                        22:39:11.367         -17:20:28.33     0.0737     129.68      83.20       0.77       2.50      0.000      ?      0.000      <      0.289
ABELL_2537                        23:08:22.313         -02:11:29.88     0.2950     110.41     124.72       1.26       6.08     10.200      ?      0.000      <      7.680
ABELL_2554                        23:12:19.622         -21:30:11.32     0.1103     105.09     318.36       0.66       6.40      1.660      ?      0.000      <      0.681
ABELL_2556                        23:13:01.413         -21:38:04.47     0.0862      12.38     115.76       1.13      10.85      1.530      ?      0.000      <      0.507
ABELL_2589                        23:23:57.315         +16:46:38.43     0.0415      51.99     109.56       0.61       3.70      0.330      <      0.183      <      0.087
ABELL_2597                        23:25:19.779         -12:07:27.63     0.0854      10.60      98.88       1.26       3.58      1.470      =     53.800      =    373.000
ABELL_2626                        23:36:30.452         +21:08:47.36     0.0573      23.19     144.08       1.05       2.90      0.661      =      0.596      =      4.680
ABELL_2631                        23:37:38.560         +00:16:05.02     0.2779     308.81      29.18       1.44       9.60     12.700      <     10.100      <      6.690
ABELL_2657                        23:44:57.253         +09:11:30.74     0.0402      65.39     153.55       0.91       3.77      4.270      <      0.171      <      0.075
ABELL_2667                        23:51:39.395         -26:05:02.75     0.2300      19.31      93.44       1.31       6.31     20.100      ?      0.000      =     33.700
ABELL_2717                        00:03:12.968         -35:56:00.13     0.0475      27.05     151.19       0.75       2.56      0.260      ?      0.000      <      0.102
ABELL_2744                        00:14:19.529         -30:23:30.24     0.3080     438.44      46.39       1.41       9.61     29.200      ?      0.000      <      8.490
ABELL_2813                        00:43:24.881         -20:37:25.08     0.2924     267.63      90.43       1.76       8.39      0.000      ?      0.000      <      5.970
ABELL_3084                        03:04:03.920         -36:56:27.17     0.0977      96.74     193.67       1.08       4.56      0.000      ?      0.000      <      0.525
ABELL_3088                        03:07:01.734         -28:39:55.47     0.2534      82.78     216.83       1.71       6.71     38.900      ?      0.000      <      4.290
