,Name , K0 , err_minus , err_plus , K100 , err_minus .1, err_plus .1, alpha , err_minus .2, err_plus,Name,z,c500,err.7,c,err.8,K_fit_range,RA,DEC,
260,ABELL_0868,192.9424753,14.4587691,14.4587691,14.98871985,6.528864993,6.528864993,1.866407849,0.09882432,0.09882432,ABELL_0868,0.153,1.53,0.31,6.698,0.397,0,9:45:26.138       ,-8:39:24.44       ,
80,ABELL_0963,39.10470477,8.50620725,8.50620725,149.6207002,13.21472406,13.21472406,0.82617623,0.057460971,0.057460971,ABELL_0963,0.206,3.594,0.131,9.899,0.19,0,10:17:03.744      ,39:02:49.16       ,
54,ABELL_0970,102.1118111,18.12222709,18.12222709,122.2513323,26.2436469,26.2436469,1.013760806,0.144567927,0.144567927,ABELL_0970,0.0587,2.201,0.295,-,-,0,10:17:23.421      ,-10:41:09.23      ,
9,ABELL_0980,150.123671,21.6608752,21.6608752,62.49303507,23.77974623,23.77974623,1.464780804,0.227339323,0.227339323,ABELL_0980,0.1582,3.45,0.274,7.588,0.4,0,10:22:28.375      ,50:06:21.85       ,
321,ABELL_1033,122.9451419,16.45085727,16.45085727,116.3440578,22.44928037,22.44928037,1.043566929,0.125610442,0.125610442,ABELL_1033,0.1259,1.714,0.121,13.636,0.273,9,10:31:44.799      ,35:02:22.41       ,
296,ABELL_1068,6.282632456,0.704527625,0.704527625,109.2843424,3.041903435,3.041903435,1.157298255,0.031251835,0.031251835,ABELL_1068,0.1375,7.72,0.161,16.599,0.231,0,10:40:44.520      ,39:57:10.30       ,
66,ABELL_1190,213.6119844,19.43703995,19.43703995,25.93459324,18.42639748,18.42639748,1.686193784,0.226922982,0.226922982,ABELL_1190,0.0751,1.67,0.371,106.591,5.921,0,11:11:39.815      ,40:50:24.70       ,
224,ABELL_1201,63.5996139,8.172751355,8.172751355,176.6036561,19.44006625,19.44006625,1.575475818,0.258574805,0.258574805,ABELL_1201,0.1688,2.99,0.196,10.184,0.248,34,11:12:54.490      ,13:26:08.77       ,
119,ABELL_1204,14.72713447,1.691171494,1.691171494,82.19556882,4.881769746,4.881769746,1.440177467,0.137729157,0.137729157,ABELL_1204,0.1706,8.195,0.252,17.555,0.372,15,11:13:20.419      ,17:35:38.44       ,
328,ABELL_1240,196.2710082,92.43678601,92.43678601,117.6236113,160.9640023,160.9640023,0.671885222,0.70849025,0.70849025,ABELL_1240,0.159,-,-,-,-,18,11:23:38.357      ,43:05:48.34       ,
337,ABELL_1285,186.2471272,29.13392123,29.13392123,77.42592927,35.9642248,35.9642248,0.997447546,0.213635774,0.213635774,ABELL_1285,0.1061,1.562,0.215,6.449,0.242,0,11:30:22.360      ,-14:34:50.57      ,
19,ABELL_1300,65.70918963,26.35668255,26.35668255,203.5262222,36.79121035,36.79121035,0.928850858,0.082894384,0.082894384,ABELL_1300,0.3072,28.578,0.932,6.16,0.307,0,11:31:54.581      ,-19:55:44.54      ,
289,ABELL_1361,18.04837292,3.004581161,3.004581161,134.8796525,8.970401156,8.970401156,1.463683081,0.143513625,0.143513625,ABELL_1361,0.1171,14.814,0.559,15.72,0.73,0,11:43:39.636      ,46:21:20.41       ,
269,ABELL_1413,57.42004265,5.076874405,5.076874405,129.717591,8.111535804,8.111535804,1.046582085,0.044481585,0.044481585,ABELL_1413,0.1427,2.425,0.077,7.558,0.08,0,11:55:17.892      ,23:24:21.85       ,
100,ABELL_1423,36.91511637,6.299036548,6.299036548,359.4245708,31.0058361,31.0058361,1.208508321,0.143137618,0.143137618,ABELL_1423,0.0761,4.974,0.302,10.635,0.4,25,11:57:17.263      ,33:36:37.44       ,
314,ABELL_1446,157.7421953,17.02003547,17.02003547,62.9128684,31.08188766,31.08188766,1.461963485,0.361704823,0.361704823,ABELL_1446,0.1035,1.391,0.201,53.984,1.613,14,12:02:03.744      ,58:02:17.92       ,
91,ABELL_1553,180.395794,25.87509729,25.87509729,57.808427,22.36465325,22.36465325,1.442840194,0.191592867,0.191592867,ABELL_1553,0.1652,3.5,0.248,5.042,0.285,0,12:30:47.275      ,10:33:14.28       ,
268,ABELL_1569,136.4489512,21.46262746,21.46262746,44.1103043,65.74721013,65.74721013,0.904228812,0.672040488,0.672040488,ABELL_1569,0.0735,1.725,0.405,-,-,0,12:36:26.016      ,16:32:17.81       ,
45,ABELL_1576,103.8796192,22.10930489,22.10930489,127.1835826,31.72238107,31.72238107,1.025784933,0.134848124,0.134848124,ABELL_1576,0.279,6.282,0.314,9.463,0.405,0,12:36:58.274      ,63:11:13.88       ,
154,ABELL_1644,21.22217558,1.461355949,1.461355949,616.0933347,78.78730038,78.78730038,1.8151741,0.107326818,0.107326818,ABELL_1644,0.0473,3.01,0.18,4.459,0.083,44,12:57:11.664      ,-17:24:32.87      ,
272,ABELL_1664,14.13075393,0.878750117,0.878750117,107.4460986,4.538784854,4.538784854,1.689722493,0.081431031,0.081431031,ABELL_1664,0.1283,4.774,0.151,16.25,0.271,0,13:03:42.622      ,-24:14:41.60      ,
110,ABELL_1668,6.156200485,1.316652675,1.316652675,167.3227968,7.881638917,7.881638917,1.032631291,0.052890981,0.052890981,ABELL_1668,0.0634,9.477,0.399,13.944,0.481,0,13:03:46.682      ,19:16:13.94       ,
201,ABELL_1689,61.84116258,4.922369313,4.922369313,126.2948897,7.801251661,7.801251661,1.156217263,0.048244745,0.048244745,ABELL_1689,0.1832,3.425,0.058,9.985,0.08,25,13:11:29.611      ,-1:20:28.68       ,
228,ABELL_1736,139.6314103,39.36787729,39.36787729,75.72448948,80.8902659,80.8902659,0.691092608,0.462671776,0.462671776,ABELL_1736,0.0458,1.498,0.448,5.8,0.242,0,13:26:49.452      ,-27:09:48.13      ,
344,ABELL_1750C,159.8676236,10.7612668,10.7612668,56.09871172,9.677898924,9.677898924,1.886477411,0.081983032,0.081983032,ABELL_1750C,0.0678,3.171,0.304,-,-,0,13:30:50.232      ,-1:51:46.42       ,
275,ABELL_1750N,93.06013847,22.13130404,22.13130404,117.4579651,37.17990924,37.17990924,0.979839514,0.211361231,0.211361231,ABELL_1750N,0.0837,5.351,0.671,-,-,0,13:31:10.949      ,-1:43:41.52       ,
213,ABELL_1758,166.511321,49.64282639,49.64282639,189.6494503,105.9274748,105.9274748,1.03588376,0.431306733,0.431306733,ABELL_1758,0.279,1.891,0.166,3.802,0.111,28,13:32:48.398      ,50:32:32.53       ,
279,ABELL_1763,186.6190173,22.10756188,22.10756188,54.56956226,15.64840476,15.64840476,1.347965019,0.124386688,0.124386688,ABELL_1763,0.223,2.49,0.188,4.497,0.224,0,13:35:17.957      ,40:59:55.79       ,
258,ABELL_1767,136.5656039,62.65466986,62.65466986,147.7311952,126.4068079,126.4068079,0.647243549,0.584929535,0.584929535,ABELL_1767,0.0703,2.417,0.492,45.524,3.01,13,13:36:07.841      ,59:12:15.69       ,
35,ABELL_1775,56.89448717,3.877474144,3.877474144,256.5537386,19.7890624,19.7890624,1.859615383,0.09851928,0.09851928,ABELL_1775,0.0717,1.13,0.165,7.388,0.098,34,13:41:48.637      ,26:22:20.10       ,
137,ABELL_1795,15.17156335,0.778910297,0.778910297,118.0365016,1.459708805,1.459708805,1.079740558,0.017816001,0.017816001,ABELL_1795,0.0625,2.039,0.037,7.923,0.037,0,13:48:52.802      ,26:35:23.53       ,
177,ABELL_1831,77.35375075,12.84774325,12.84774325,100.5925996,19.6882256,19.6882256,1.16483665,0.153743686,0.153743686,ABELL_1831,0.0615,3.082,0.44,-,-,0,13:59:15.821      ,27:58:32.15       ,
17,ABELL_1835,11.29913407,1.210847623,1.210847623,105.984651,4.226783453,4.226783453,1.322887027,0.034151809,0.034151809,ABELL_1835,0.2532,10.884,0.15,13.049,0.161,0,14:01:01.951      ,2:52:43.18        ,
69,ABELL_1914,84.49363566,15.89997158,15.89997158,139.1034604,22.46197209,22.46197209,0.852965826,0.081101907,0.081101907,ABELL_1914,0.1712,3.11,0.112,6.223,0.148,0,14:26:03.060      ,37:49:27.84       ,
338,ABELL_1930,-3.706592038,2.732889079,2.732889079,182.2455886,6.826766689,6.826766689,0.822759408,0.042027585,0.042027585,ABELL_1930,0.1313,6.974,0.29,38.418,1.028,0,14:32:37.887      ,31:38:52.49       ,
204,ABELL_1942_AND_CLUMP,67.02281585,74.34499132,74.34499132,229.3051823,101.3571192,101.3571192,0.465599789,0.200287937,0.200287937,ABELL_1942_AND_CLUMP,0.224,3.266,0.332,12.064,0.628,0,14:38:21.878      ,3:40:12.97      ,
334,ABELL_1991,0.392457618,0.244423278,0.244423278,122.8040147,2.375323088,2.375323088,0.99643963,0.016570554,0.016570554,ABELL_1991,0.0587,4.242,0.148,12.263,0.162,0,14:54:31.620      ,18:38:41.50       ,
75,ABELL_2009,18.81080005,2.581531644,2.581531644,133.3649313,7.018245139,7.018245139,1.104855423,0.044006928,0.044006928,ABELL_2009,0.1532,7.034,0.221,11.667,0.27,0,15:00:19.576      ,21:22:11.56       ,
241,ABELL_2061,224.7373171,24.17815544,24.17815544,38.18527336,19.47372575,19.47372575,1.434170753,0.23343029,0.23343029,ABELL_2061,0.0784,2.34,0.499,23.705,0.913,5,15:21:10.149      ,30:36:41.28       ,
127,ABELL_2069,297.6870895,41.57332723,41.57332723,84.81308847,46.81240865,46.81240865,0.962597591,0.212254233,0.212254233,ABELL_2069,0.116,1.617,0.158,4.3,0.154,0,15:24:11.376      ,29:52:19.02       ,
282,ABELL_2092,79.49815599,62.07551059,62.07551059,120.4945547,105.9863048,105.9863048,0.689590468,0.622520861,0.622520861,ABELL_2092,0.0669,6.704,1.921,-,-,0,15:33:17.614      ,31:08:16.49       ,
76,ABELL_2104,159.1420735,31.84477164,31.84477164,127.1688507,43.60174166,43.60174166,0.820390032,0.178099944,0.178099944,ABELL_2104,0.1533,1.674,0.098,5.66,0.113,0,15:40:08.131      ,-3:18:15.01       ,
174,ABELL_2107,10.15509819,3.137568314,3.137568314,327.9583462,32.78187219,32.78187219,0.922611394,0.086401805,0.086401805,ABELL_2107,0.0411,3.735,0.172,44.463,0.792,70,15:39:39.113      ,21:46:57.65       ,
250,ABELL_2111,189.915292,27.11505477,27.11505477,88.33669504,27.65517126,27.65517126,1.188616078,0.155650554,0.155650554,ABELL_2111,0.229,3.538,0.266,6.606,0.373,0,15:39:40.637      ,34:25:28.02       ,
221,ABELL_2124,91.07289809,24.55535425,24.55535425,196.3749683,38.84304546,38.84304546,0.813895317,0.17293218,0.17293218,ABELL_2124,0.0656,5.288,0.239,7.792,0.297,0,15:44:59.131      ,36:06:34.13       ,
