Cluster Name,Angular Separation (arcseconds),Z Separation,Z Separation over +1,K0
WBL_518,52.61547119263538,0.014814814814814854,0.0003894839337877323,89.36252494
CIZA_J2242.8+5301,52.00333226363176,0.04489583333333342,0.007231543624161088,
SC_1329-313,51.209861117147184,0.041666666666666706,0.0019083969465648872,167.3303561
SPT-CLJ0426-5455,49.34980412376377,,,
ABELL_2163,47.547107872103204,0.008374384236453236,0.0014131338320864564,
MCXC_J1053.7+5452,46.3474725280494,0.028571428571428397,0.0018691588785046615,63.30019963
ABELL_2249,45.79022217613537,0.06097560975609744,0.004621072088724575,
ABELL_S0520,45.6184943604725,0.006779661016949159,0.001544401544401546,320.1325294
ABELL_1914,45.01348103576813,0.0526315789473683,0.007685738684884697,84.49363566
ABELL_2895,44.390066468299246,0.013656387665198201,0.0025264873675631553,168.687479
MCXC_J0340.8-4542,44.33720719095524,0.03757142857142867,0.0024579439252336516,189.4193888
ZwCl_0806.5+2822,43.56942688601546,0.020000000000000018,0.004615384615384619,
MCXC_J2003.5-2323,43.25094505849577,0.009495268138801301,0.0022854973424449605,217.8881298
ABELL_3695,42.908168430667615,0.009101123595505677,0.0007438016528925667,307.1827832
ABELL_2443,42.76899352607375,0.014183333333333333,0.0013824909747292417,164.2616866
ABELL_0160,41.971143332072394,0.015333333333333404,0.000660287081339716,
WARP_J1524.6+0957,41.886740509990766,0.0,0.0,
ABELL_3364,41.785835872949455,0.1486486486486488,0.01916376306620211,205.0187591
MACS_J0358.8-2955,41.25625046230979,0.0039999999999999515,0.0011929824561403364,26.15137019
ABELL_2744,38.38054784327376,0.02857142857142849,0.00672782874617735,151.7160641
SPT-CLJ2245-6206,38.22068869955997,,,
ABELL_3343,37.84238579852781,0.03157068062827229,0.005062972292191442,163.7573293
ABELL_1553,36.06879698019506,0.030303030303030328,0.004291845493562235,180.395794
SPT-CLJ0014-4952,35.772056000890856,0.006781914893617013,0.0029109589041095853,
MACS_J0025.4-1222,35.50905772040994,0.0017123287671232893,0.0006313131313131318,149.8153377
ABELL_2355,34.91472455760174,0.8597580645161291,0.09484875444839858,393.2931414
ABELL_0970,34.79958820007646,0.0016949152542372191,9.442870632671948e-05,102.1118111
400d_J0318-0302,34.13832621703922,0.0,0.0,
ABELL_2111,33.33891687078597,0.00436681222707424,0.0008136696501220511,189.915292
ABELL_3562,33.1364839900535,0.003061224489796006,0.00014299332697807846,70.59170171
MCXC_J1215.4-3900,32.80556961378381,0.01848739495798314,0.0019660411081322553,275.4463686
MCXC_J2031.8-4037,32.023246405893055,0.0058187134502925356,0.001482861400894223,
ABELL_2631,30.395299642969544,0.014652014652014664,0.003142183817753341,76.91434718
ABELL_2069,29.559614747285842,0.021551724137931053,0.002240143369175629,297.6870895
ABELL_S0592,29.486673222503647,0.006531531531531562,0.0011865793780687455,30.59350661
WHL_J114224.8+583205,29.008785679747213,0.04180064308681676,0.009916094584286814,459.8512792
ABELL_2092,28.78856220745202,0.008208955223880729,0.0005154639175257814,79.49815599
SPT-CL_J2337-5942,28.205510714571325,0.0028169014084506784,0.0012352610892756763,
a1750ss,28.073157341222494,0.051758241758241674,0.004317140238313467,34.9011651
MACS0140.0-0555,27.728293979963844,0.006607929515418508,0.00206327372764787,
ABELL_2259,27.596948426027634,0.0,0.0,
ABELL_2319,27.493919561001693,0.03821428571428577,0.002026515151515154,
G113.82+44.35,27.434243173105575,0.005486725663716898,0.001011419249592185,
ABELL_0370,26.98468151729377,0.006666666666666672,0.0018181818181818197,256.6987849
ABELL_0539,26.823776876563386,0.03503571428571426,0.0009542801556420225,
400d_J0237-5224,26.571265047955062,0.0022058823529413417,0.0002640845070422733,
PLCKESZ_G304.84-41.42,26.28523012374914,0.1317073170731707,0.03829787234042553,-48.26712337
PLCKESZ_G286.58-31.25,26.094522410573347,0.0,0.0,149.1273857
a1750ss,25.84430452829851,0.043956043956043994,0.0036663611365719555,34.9011651
